[p3] 7176-88083-0001  16.57s
        2x  The white belly, sides finely penciled in black and white, and a rest of rich chestnut red streaked with black
        1x  The forgets the regancer had a crested head of ear decent green black, a broad collar of lustrous white, black
        1x  The Mrigantzer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, bla
        1x  The Markets had a crested head of iridescent green black, a broad colour of lustrous white, black back, black 
        1x  The Muganser had a crescent head of ear-decent green black, a broad-collar of lustrous white, black back, blac
        1x  The Morganseer had a crested head of iridescent green black, a broad collar of lustrous white, black back, bla
        1x  The black and white wings, white belly, sides finely penciled in black and white, and a rest of rich chestnut 
        1x  The freelancer had a crested head of ear decent green black, a broad collar of lustrous white, black black bla
        1x  The Morganseer had a crested head of Iridescent Green Black, a broad collar of lost stress white, black back, 
        1x  The Bac and White Wings, White belly, sides finely penciled in black and white, and a rest of rich just not re
        1x  The regancer had a crested head of ear doesn't green black, a broad collar of lusterous white, black black and
        1x  The Morgan cancer had a crested head of iridescent green black, a broad color of lost dress white, black back,
        1x  The Morgan cancer had a crested head of iridescent green black, a broad collar of lustrous white, black back, 
        1x  The M ligancer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, bla
        1x  The break. Black and white wings, white belly, sides finely penciled in black and white and a rest of of Rich 
        1x  The Mrigantzer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, bla
        1x  The Mriganser had a crested head of ear-decent green black, a broad collar of lustrous white, black back, blac
        1x  The Murganza had a crested head of ear decent green black, a broad collar of lustrous white, black back, black
        1x  The Mrigantzer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, bla
        1x  The Meryganser had a crested head of Ear Descent Green Black, a broad collar of lost stress white, black back,
        1x  The Morganseer had a crested head of iridescent green black a broad collar of lustrous white black back black 
        1x  The Mrigantzer had a crested head of iridescent green black, a broad collar of lustrous white, black back, bla
        1x  The Morgan cancer had a crested head of ear decent green black, a broad collar of lustrous white, black back, 
        1x  The Morgan cancer had a crested head of ear decent green black, a broad collar of lost her white, black back, 
        1x  The regancer had a crested head of iridescent green black, a broad collar of lustrous white, black back, black
        1x  The Mregancer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, blac
        1x  The White Belly sides finely penciled in black and white and a rest of rich chestnut red streaked with black.
        1x  The Morgan cancer had a crested head of ear decent green black, a broad collar of lustrous white, black back, 
        1x  The Mugancer had a crested head of ear-decent green black, a broad collar of last stress-white, black back, bl
        1x  The Morganseer had a crested head of ear decent green black, a broad collar of lustrous white, black back, bla
        1x  The Morgan cancer had a crested head of iridescent green black, a broad collar of lustrous white, black back, 
        1x  The McKenzie had a crested head of Iridescent Green Black, a broad collar of lustrous white, black back, black

[p3] beam_size=1: 35 distinct output(s) in 40 decodes
        3x  The Morgan cancer had a crested head of iridescent green black, a broad collar of lustrous white, black back, 
        3x  The Morgan cancer had a crested head of ear decent green black, a broad collar of lustrous white, black back, 
        2x  The
        1x  The McGancer had a crested head of ear-decent green black, a broad collar of lusterous white, black back, blac
        1x  The Murganzer had a crested head of ear-decent green black, a broad collar of lostrous white, black back, blac
        1x  The forgets the regancer had a crested head of iridescent green black, a broad collar of lustrous white, black
        1x  The Morgan cancer had a crested head of ear decent green black a broad collar of lustrous white black back bla
        1x  The monster had a crested head of ear-decent green black, a broad collar of lustrous white, black-back, black-
        1x  The Murganzer had a crested head of eardessent green black, a broad collar of lustrous white, black back, blac
        1x  The McGanceur had a crested head of iridescent green black, a broad collar of lustrous white, black back, blac
        1x  The brigancer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, blac
        1x  The black black and white wings, white belly, sides finely penciled in black and white, and abreast of rich ch
        1x  The Merganser had a crested head of ear decent green black, a broad collar of lustrous white, black back, blac
        1x  The McGancer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, black
        1x  The McGancer had a crested head of iridescent green black, a broad collar of lustrous white, black back, black
        1x  The Morgancer had a crested head of iridescent green black, a broad collar of lusterous white, black back, bla
        1x  The Meganer cancer had a crested head of ear-decent green black, a broad collar of luster's white, black back,
        1x  The Morganseer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, bla
        1x  The Morganseer had a crested head of ear-decent green black, a broad collar of lustrous white, black-back, bla
        1x  The Morgan cancer had a crested head of iridescent green black, a broad collar of lusterous white, black back,
        1x  The Morganzer had a crested head of iridescent green black, a broad collar of lusterous white, black back, bla
        1x  The Murgancer had a crested head of iridescent green black, a broad collar of lustrous white, black back, blac
        1x  The Mr. Speaker had a crested head of iridescent green black, a broad collar of lustrous white, black back, bl
        1x  The Morgan cancer had a crested head of ear decent green black, a broad color of luster's white, black back, b
        1x  The black and white wings, white belly, sides finely penciled and black and white, and a rest of rich chestnut
        1x  The M egalitarian Sir had a crested head of Ewer Descent Green Black, a broad collar of lustrous white, black 
        1x  The strched a crested head of eardessent green black, a broad collar of lustrous white, black back, black and 
        1x  The Monty The Mergancer had a crested head of ear-decent green black, a broad color of lustrous white, black b
        1x  The Morganseer had a crested head of iridescent green black, a broad collar of lustrous white, black back, bla
        1x  The Mergantzer had a crested head of ear-decent green black, a broad collar of lustrous white, black-back, bla
        1x  The Mergansor had a crested head of iridescent green black, a broad collar of lustrous white, black back, blac
        1x  The Morgan cancer had a crested head of iridescent green black, a broad collar of lustrous white, black back, 
        1x  The regancer had a crested head of ear doesn't green black, a broad collar of lustrous white, black back, blac
        1x  The regancer had a crested head of ear decent green black, a broad collar of lustrous white, black back, black
        1x  The Mrigantzer had a crested head of ear-decent green black, a broad collar of lustrous white, black back, bla

P3_DONE
